model_name,train_acc,train_loss,val_acc,val_loss
mask_dyn10,"[0.23820224719101124, 0.34606741573033706, 0.5438202247191011, 0.8219101123595506, 0.9573033707865168, 0.9691011235955056, 0.9786516853932584, 0.9882022471910112]","[0.269436849904864, 0.2580994075603699, 0.22121169808205593, 0.1390396823541502, 0.06533556280846006, 0.04018027220298065, 0.02798434321799975, 0.021178094814583825]","[0.25225225225225223, 0.36036036036036034, 0.7162162162162162, 0.963963963963964, 0.9684684684684685, 0.9684684684684685, 0.972972972972973, 0.9864864864864865]","[0.7953282369149698, 0.754987349381318, 0.5433565869524672, 0.25846203027276304, 0.1370570232403708, 0.10658872479925284, 0.08372854917973012, 0.05614492251025932]"
mask6,"[0.26235955056179777, 0.3651685393258427, 0.4842696629213483, 0.6179775280898876, 0.8106741573033708, 0.948876404494382, 0.9696629213483146, 0.9758426966292135]","[0.2665489228923669, 0.2523783126908742, 0.231355657637789, 0.19275502709860212, 0.13370573667997723, 0.07732608081417137, 0.04579060377364748, 0.03254224853066916]","[0.28378378378378377, 0.3918918918918919, 0.44594594594594594, 0.6216216216216216, 0.9144144144144144, 0.963963963963964, 0.972972972972973, 0.963963963963964]","[0.7922337849934896, 0.741504649858217, 0.6702434766936947, 0.5372819405149769, 0.3116713368275144, 0.17894172024082494, 0.12090402683830476, 0.09575367588046435]"
mask15,"[0.2410112359550562, 0.4191011235955056, 0.601123595505618, 0.7196629213483146, 0.7707865168539326, 0.8269662921348314, 0.9241573033707865, 0.9758426966292135]","[0.26974931593691365, 0.24108852161450334, 0.20514988802122266, 0.16388002505128305, 0.13560192831948903, 0.11177210443642702, 0.08167188153340575, 0.049803717928321174]","[0.33783783783783783, 0.5225225225225225, 0.6576576576576577, 0.7162162162162162, 0.7837837837837838, 0.8378378378378378, 0.972972972972973, 0.972972972972973]","[0.7572269608845582, 0.6724760846511738, 0.5525350205533139, 0.4518338080730524, 0.36337781103478894, 0.2929436232861098, 0.17130037784777782, 0.12462726151486775]"
mask_dyn10,"[0.25617977528089886, 0.33876404494382023, 0.5617977528089888, 0.8016853932584269, 0.9438202247191011, 0.9730337078651685, 0.9831460674157303, 0.9904494382022472]","[0.26843299323253417, 0.25802847528725525, 0.21433350326639883, 0.13810939413777898, 0.07857597127891658, 0.04846202909862727, 0.033052980384967304, 0.02227765130234903]","[0.26576576576576577, 0.43243243243243246, 0.6576576576576577, 0.9009009009009009, 0.9414414414414415, 0.963963963963964, 0.9774774774774775, 0.9819819819819819]","[0.8033906707355568, 0.7411408314296791, 0.5326811021512693, 0.3131862180727022, 0.19942091324844877, 0.119806231846949, 0.09347261726721987, 0.06542249272267024]"
mask6,"[0.22134831460674156, 0.27191011235955054, 0.3758426966292135, 0.5421348314606742, 0.7140449438202248, 0.8730337078651685, 0.9668539325842697, 0.9730337078651685]","[0.2790247846185491, 0.26635418621341833, 0.24329559585351623, 0.20543193455492512, 0.15750409229083007, 0.11189077441277129, 0.07160277450352573, 0.04921233373160443]","[0.22522522522522523, 0.3153153153153153, 0.45495495495495497, 0.5540540540540541, 0.7972972972972973, 0.9459459459459459, 0.9684684684684685, 0.972972972972973]","[0.8224184752047599, 0.7693025641613178, 0.6793894926169971, 0.5713482121895025, 0.4095216363265708, 0.27936186232008375, 0.17626893678092742, 0.12313487723067]"
mask15,"[0.31573033707865167, 0.46685393258426966, 0.6247191011235955, 0.7067415730337079, 0.7578651685393258, 0.8719101123595505, 0.9398876404494382, 0.9713483146067415]","[0.2552671214837707, 0.22766734914163525, 0.18655026889918896, 0.14446900274311558, 0.12075073884779147, 0.0914954077201278, 0.06301252044151338, 0.045357670017591355]","[0.3918918918918919, 0.5495495495495496, 0.7252252252252253, 0.7207207207207207, 0.8018018018018018, 0.918918918918919, 0.9459459459459459, 0.9684684684684685]","[0.7272956736452945, 0.6334842220619992, 0.48365731497068665, 0.40638752201118983, 0.3263273917071454, 0.2208483110408525, 0.15565753867430193, 0.1170945222581829]"
mask_dyn10,"[0.2539325842696629, 0.4387640449438202, 0.6646067415730337, 0.8859550561797753, 0.9539325842696629, 0.9685393258426966, 0.9764044943820225, 0.9859550561797753]","[0.2730964511298062, 0.23065802016285028, 0.18227338991808087, 0.12093072468310259, 0.08021065766054593, 0.054977450452828674, 0.03862364267449031, 0.02693827391256777]","[0.3738738738738739, 0.49099099099099097, 0.8018018018018018, 0.9099099099099099, 0.963963963963964, 0.972972972972973, 0.9774774774774775, 0.990990990990991]","[0.2424302095765466, 0.21469988103385443, 0.15275007969624288, 0.10617378152705528, 0.06575507684065415, 0.04827264639305639, 0.035719657266462174, 0.024964160680233896]"
mask15,"[0.22303370786516855, 0.32471910112359553, 0.47191011235955055, 0.6151685393258427, 0.7117977528089887, 0.8157303370786517, 0.8949438202247191, 0.9573033707865168]","[0.272635457890757, 0.2551756019672651, 0.22709635248344937, 0.19454865154255643, 0.15788201485457046, 0.11836967368641596, 0.08561923695581683, 0.06098297237512771]","[0.28378378378378377, 0.38738738738738737, 0.5135135135135135, 0.6666666666666666, 0.7477477477477478, 0.8558558558558559, 0.8873873873873874, 0.9414414414414415]","[0.2660051745337409, 0.24461251013987773, 0.22217018298200658, 0.17617082985134813, 0.13962985991357682, 0.10562741333568418, 0.08146277177441227, 0.060630227162225825]"
mask6,"[0.2095505617977528, 0.33370786516853934, 0.5303370786516854, 0.7067415730337079, 0.8769662921348315, 0.9550561797752809, 0.9707865168539326, 0.9792134831460674]","[0.27415289162250045, 0.25134556172938827, 0.2104195648699664, 0.16177133134241853, 0.11530307827705748, 0.07465437864989377, 0.051676636356651116, 0.03729692927739593]","[0.24774774774774774, 0.3963963963963964, 0.5900900900900901, 0.8288288288288288, 0.9504504504504504, 0.9684684684684685, 0.9684684684684685, 0.972972972972973]","[0.26416432427930403, 0.23533862802359434, 0.18991612689989107, 0.14283015370905935, 0.0950881457543588, 0.06530521340198345, 0.050697454360422785, 0.03928494641372749]"
mask_dyn_grow1,"[0.22303370786516855, 0.32303370786516855, 0.5426966292134832, 0.7258426966292135, 0.8168539325842696, 0.9106741573033708, 0.9831460674157303, 0.9910112359550561]","[0.2695490490184741, 0.2591027762782708, 0.21253079818875603, 0.15541106345278494, 0.11197401847732201, 0.07506919184678726, 0.03955580018293322, 0.024926109337823445]","[0.27927927927927926, 0.38288288288288286, 0.6756756756756757, 0.7522522522522522, 0.8063063063063063, 0.9594594594594594, 0.963963963963964, 0.954954954954955]","[0.263116865007727, 0.2470604712898667, 0.17474867000773148, 0.13404738084153012, 0.10388202555813231, 0.05658117903245462, 0.0358530758200465, 0.02850835830778689]"
mask_dyn10,"[0.25842696629213485, 0.42303370786516853, 0.6870786516853933, 0.8202247191011236, 0.9601123595505618, 0.9741573033707865, 0.9831460674157303, 0.9887640449438202]","[0.2658821882156844, 0.24109506161695116, 0.17998824092779267, 0.11683756234438232, 0.06217726766225997, 0.03849295493257179, 0.028176824635501658, 0.02045510768932238]","[0.34684684684684686, 0.5180180180180181, 0.7927927927927928, 0.9594594594594594, 0.9774774774774775, 0.9864864864864865, 0.990990990990991, 0.990990990990991]","[0.2531453129407522, 0.2142815415386681, 0.14654539337566308, 0.07968417783309747, 0.04610615478711085, 0.032522140356065994, 0.024861266517692857, 0.02152978962807505]"
mask15,"[0.27303370786516856, 0.4044943820224719, 0.499438202247191, 0.5988764044943821, 0.7117977528089887, 0.7719101123595505, 0.7983146067415731, 0.8061797752808989]","[0.2656954995701822, 0.2480341367507249, 0.22765937012233092, 0.20738048563512523, 0.179700094059612, 0.1440619503849008, 0.11480971469303196, 0.09363929119505239]","[0.3963963963963964, 0.4594594594594595, 0.581081081081081, 0.6936936936936937, 0.7792792792792793, 0.7972972972972973, 0.8153153153153153, 0.8153153153153153]","[0.2535164340122326, 0.23525637066042102, 0.21565832936011994, 0.1863149315924258, 0.15608110661442215, 0.12316214353651614, 0.0975969190801586, 0.08105941532968401]"
