word,business,entertainment,sport,tech,politics
3-d,0,1,0,0,0
3d,0,1,0,0,0
access,0,0,0,1,0
access to the internet,0,0,0,1,0
account,1,1,0,1,0
account number,1,0,0,0,0
accountant,1,0,0,0,0
accounting,1,0,0,0,0
accounts,1,0,0,0,0
accruals,1,0,0,0,0
accusation,0,0,0,0,1
acolyte,0,0,0,0,1
acrobatics,0,1,0,0,0
actively managed funds,1,0,0,0,0
activist,0,0,0,0,1
actor,0,1,0,0,0
actors,0,1,0,0,0
actress,0,1,0,0,0
actresses,0,1,0,0,0
actuary,1,0,0,0,0
administration,1,0,0,0,0
ads,1,0,0,0,0
advance,0,0,0,1,0
advanced,0,0,0,1,0
advances in technology,0,0,0,1,0
advertise,1,0,0,0,0
advisor,1,0,0,0,0
advocate,0,0,0,0,1
aer,1,0,0,0,0
aerobatics,0,1,0,0,0
aerobics,0,0,1,0,0
affiliate marketing,1,0,0,1,0
affordable,1,0,0,0,0
after-hours dealing,1,0,0,0,0
agenda,1,0,0,0,0
agm,1,0,0,0,0
agon,0,1,0,0,0
agreement,1,0,0,0,0
ai,0,0,0,1,0
airshow,0,1,0,0,0
album,0,1,0,0,0
all-dayer,0,1,0,0,0
all-nighter,0,1,0,0,0
all-star,0,0,1,0,0
allegation,0,0,0,0,1
alliance,0,0,0,0,1
allocation rate,1,0,0,0,0
ally,0,0,0,0,1
alternative investment market,1,0,0,0,0
amateur,0,0,1,0,0
american football,0,0,1,0,0
amphitheater,0,1,0,0,0
analyze,0,0,0,1,0
anarchism,0,0,0,0,1
anglosphere,0,0,0,0,1
animation,0,1,0,0,0
annual bonus,1,0,0,0,0
annual equivalent rate,1,0,0,0,0
annual general meeting,1,0,0,0,0
annual percentage rate,1,0,0,0,0
annuity,1,0,0,0,0
anonymity,0,0,0,0,1
antimasque,0,1,0,0,0
api,0,0,0,1,0
app,0,0,0,1,0
applaud,0,1,0,0,0
application,0,0,0,1,0
application programming interface,0,0,0,1,0
