mlm_acc_each_epoch,mlm_loss_each_epoch,Mask_Percent_each_epoch
"[0.3909929761740807, 0.4619198457512739, 0.4655006197493458, 0.47224900151494287, 0.48175182481751827, 0.47885966120369095, 0.47362622228343204, 0.4744525547445255, 0.4748657209750723, 0.4733507781297342]","[0.03198619931936264, 0.02557757869362831, 0.03020569309592247, 0.0371200367808342, 0.02994408644735813, 0.029093269258737564, 0.02203753963112831, 0.03476300090551376, 0.019716624170541763, 0.03880178928375244]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
"[0.39476785293424466, 0.4522743341975018, 0.4532170633985388, 0.47478199387226017, 0.4659439076125383, 0.4565166156021683, 0.4691256186660382, 0.479259957577186, 0.48762667923638936, 0.4732500589205751]","[0.05061503127217293, 0.036009419709444046, 0.020457502454519272, 0.03384455293416977, 0.03226614370942116, 0.03739650174975395, 0.012413552030920982, 0.02169192023575306, 0.016062719747424126, 0.01862700842320919]","[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]"
"[0.4, 0.47195490789111905, 0.466455870222711, 0.4827538820942696, 0.4793842770753161, 0.4970446735395189, 0.4784162771514985, 0.4982128127577674, 0.5281748213304013, 0.5265255634964267]","[0.04602385312318802, 0.03552519902586937, 0.014771399088203907, 0.013858087360858917, 0.01970255747437477, 0.014870675280690193, 0.023269295692443848, 0.0216708742082119, 0.010822717100381851, 0.02147112414240837]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
"[0.40133740028155795, 0.46083489681050654, 0.479770141902193, 0.5052187170165358, 0.4780670889045273, 0.4951331066025566, 0.5077987568898792, 0.5096774193548387, 0.49290322580645163, 0.5058644147314098]","[0.05105382949113846, 0.02566910721361637, 0.030169259756803513, 0.019432831555604935, 0.02330373413860798, 0.031327392905950546, 0.017388660460710526, 0.04064593464136124, 0.02988370694220066, 0.010824889875948429]","[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]"
"[0.40063740104862755, 0.46635158738312954, 0.4677833727263385, 0.4750205592105263, 0.49501490389556996, 0.49126413155190135, 0.4962498715709442, 0.48602835422231355, 0.508481546211576, 0.5076069078947368]","[0.059829700738191605, 0.04412558674812317, 0.032365091145038605, 0.03772353753447533, 0.028923099860548973, 0.03531840816140175, 0.02977750636637211, 0.02583669126033783, 0.025935912504792213, 0.02248321659862995]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]"
"[0.3986374516663598, 0.4693595877806404, 0.4714009394860459, 0.4784931380676061, 0.4868348370465844, 0.49198747467305215, 0.4957186262775067, 0.4972375690607735, 0.4949838932351588, 0.4984805230684225]","[0.0711909681558609, 0.018787456676363945, 0.021054357290267944, 0.041342489421367645, 0.025837784633040428, 0.051553577184677124, 0.05078519135713577, 0.025537770241498947, 0.030239757150411606, 0.024676473811268806]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
"[0.3959842001316656, 0.45097071405067457, 0.4654760925026747, 0.47725590194949413, 0.4675548976067111, 0.46407703069706197, 0.48753599341834636, 0.49913573133591244, 0.5007404969557347, 0.5087228439763002]","[0.072414830327034, 0.03401566669344902, 0.03316289186477661, 0.04606010764837265, 0.02156253159046173, 0.02542281523346901, 0.0284038744866848, 0.050597935914993286, 0.03700990229845047, 0.046384505927562714]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
"[0.3977689600958299, 0.45916991309559485, 0.4720245674481312, 0.47316817603472794, 0.4878322725570947, 0.47985923929320157, 0.4757303370786517, 0.4836102379883251, 0.4770855174479557, 0.473877245508982]","[0.0643717497587204, 0.06463858485221863, 0.03214376047253609, 0.02882603369653225, 0.043913114815950394, 0.03221404552459717, 0.033950574696063995, 0.027954276651144028, 0.041464388370513916, 0.04026971012353897]","[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
"[0.384367279714521, 0.4586393904029656, 0.4667490220300597, 0.4620874219446922, 0.46717431570281953, 0.4800549261929283, 0.48329101763535304, 0.471602225121901, 0.48037331869338457, 0.48967693257425066]","[0.08465049415826797, 0.03085910715162754, 0.03830175846815109, 0.043196436017751694, 0.035625018179416656, 0.049317579716444016, 0.05072982981801033, 0.04945773631334305, 0.05736502259969711, 0.0581386461853981]","[12, 12, 12, 12, 12, 12, 12, 12, 12, 12]"
"[0.38701067615658363, 0.4462888761686701, 0.4502002161062734, 0.4575387744724129, 0.4580526248887759, 0.46545477658424966, 0.4642766336130181, 0.4803560076287349, 0.47787104158718047, 0.48124364191251273]","[0.0869370847940445, 0.03490055352449417, 0.035685546696186066, 0.025390107184648514, 0.056986432522535324, 0.048740454018116, 0.04861483722925186, 0.046719495207071304, 0.050357699394226074, 0.023811371996998787]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
"[0.38286251248017855, 0.4371366492454049, 0.4492600422832981, 0.45342964529011043, 0.458281956432388, 0.4620487232169064, 0.47172802536550995, 0.4831533223761446, 0.46854995007928585, 0.4834370962058029]","[0.07213782519102097, 0.042857006192207336, 0.03032519295811653, 0.07078051567077637, 0.05886753275990486, 0.05293157696723938, 0.046391941606998444, 0.043720029294490814, 0.03884594887495041, 0.042376935482025146]","[14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
"[0.38236911570611526, 0.4355308737009952, 0.45210601561640823, 0.4542654419448875, 0.4582737768004398, 0.4573690286405365, 0.4624896949711459, 0.4661534231509486, 0.4747030356357237, 0.4657428791377983]","[0.07680151611566544, 0.06371640413999557, 0.09643109887838364, 0.060693275183439255, 0.06276611238718033, 0.0635915994644165, 0.045542262494564056, 0.053667306900024414, 0.05996854230761528, 0.060355961322784424]","[15, 15, 15, 15, 15, 15, 15, 15, 15, 15]"
"[0.3984879725085911, 0.4642354596622889, 0.4552369205468188, 0.4620696004419076, 0.4740826065492842, 0.47031074503931114, 0.48184999656899746, 0.46927232284715603, 0.4645331767469172, 0.4582118294360385]","[0.03686521202325821, 0.0216094721108675, 0.02551976405084133, 0.031526606529951096, 0.03598075360059738, 0.029087405651807785, 0.051057569682598114, 0.0909850150346756, 0.04896678775548935, 0.04988222196698189]","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
"[0.39700425999725164, 0.4650562851782364, 0.46993524514338575, 0.47315590754213094, 0.46400065827367726, 0.46226026833484235, 0.4790912084293711, 0.4769925003177831, 0.4667853283325917, 0.47004637570675306]","[0.05312240123748779, 0.02590969204902649, 0.025070389732718468, 0.04481310397386551, 0.05010392144322395, 0.0354987308382988, 0.02131984755396843, 0.04666297882795334, 0.03929615020751953, 0.05708274245262146]","[6, 7, 8, 9, 10, 10, 10, 13, 13, 13]"
"[0.41421501237283476, 0.4605911330049261, 0.46983245965669646, 0.47698821796759944, 0.47371884510981327, 0.4828877405826406, 0.47193632496226157, 0.45874125874125876, 0.473829524760618, 0.4635888980489145]","[0.058470867574214935, 0.03734993934631348, 0.023279555141925812, 0.03278513252735138, 0.03539683297276497, 0.03770420700311661, 0.036209650337696075, 0.03762601315975189, 0.04225432872772217, 0.04629965126514435]","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
"[0.4147079037800687, 0.46311715726515773, 0.4662828947368421, 0.4758703260268926, 0.44881824919706825, 0.4747798897391591, 0.4734720737023937, 0.4617194455042605, 0.4639247346004704, 0.4746107403876708]","[0.0532199926674366, 0.013177421875298023, 0.03699633106589317, 0.02660449966788292, 0.033606551587581635, 0.03790780529379845, 0.042130351066589355, 0.030372004956007004, 0.04467547684907913, 0.045608118176460266]","[6, 7, 8, 9, 10, 10, 10, 13, 13, 13]"
"[0.39134655387602274, 0.459298294272639, 0.4622504159733777, 0.4745110278818144, 0.47372803730535434, 0.47631732290019146, 0.47443796835970026, 0.46553054662379423, 0.46559485530546624, 0.46300225008036]","[0.044731978327035904, 0.029660051688551903, 0.029922816902399063, 0.023750845342874527, 0.04130309820175171, 0.04776739329099655, 0.020847821608185768, 0.044966138899326324, 0.04840751364827156, 0.04151735454797745]","[6, 6, 8, 8, 10, 10, 10, 13, 13, 13]"
